Source,Target,Type,Distance,Voltage,Lines
1,2,Undirected,208,220,2
2,3,Undirected,0.1,110,1
2,4,Undirected,0.1,110,1
2,5,Undirected,2.88,110,1
2,7,Undirected,0.3,220,1
2,8,Undirected,121.06,220,1
2,9,Undirected,164,220,1
2,209,Undirected,121.64,110,1
5,6,Undirected,0.8,11,2
8,9,Undirected,30,220,1
9,10,Undirected,0.08,220,1
9,11,Undirected,0.65,110,1
9,12,Undirected,68.5825,220,4
9,211,Undirected,55,220,1
12,13,Undirected,27.025,220,4
12,14,Undirected,132.9,220,2
12,15,Undirected,35.7,110,2
12,17,Undirected,36.85,110,1
12,18,Undirected,114.64,220,2
12,19,Undirected,201.29,110,1
15,16,Undirected,0.1,110,1
18,19,Undirected,92.44,220,2
18,212,Undirected,0.1,66,1
19,24,Undirected,135.26,220,1
19,20,Undirected,23.635,110,2
19,22,Undirected,112.16,220,1
20,195,Undirected,24.1,66,1
20,21,Undirected,67.24,110,2
21,29,Undirected,30.45,66,2
21,30,Undirected,40.505,110,2
22,23,Undirected,49.7,220,1
23,24,Undirected,26.7,220,1
23,25,Undirected,6.4,220,1
23,26,Undirected,0.1,66,1
23,27,Undirected,3.26,220,1
23,28,Undirected,78.14,220,2
23,215,Undirected,7.21,220,1
28,31,Undirected,50.0824959792,220,1
28,32,Undirected,7,220,1
28,33,Undirected,564.271014668,220,2
28,34,Undirected,564.271014668,220,2
28,35,Undirected,9592.60724935,220,2
28,41,Undirected,429572.487611,220,2
28,42,Undirected,1333902.12449,220,2
29,204,Undirected,37.97,66,2
30,31,Undirected,135.86,110,2
31,41,Undirected,34417.2184211,220,1
33,34,Undirected,0.206092535314,220,2
33,35,Undirected,3.50357310035,220,2
33,41,Undirected,156.895677382,220,2
33,42,Undirected,487.190133025,220,2
34,35,Undirected,3.50357310035,220,2
34,41,Undirected,156.895677382,220,2
34,42,Undirected,487.190133025,220,2
35,45,Undirected,3.773309615E+035,220,4
35,46,Undirected,1.95585988228E+033,220,4
35,48,Undirected,2.05365287639E+035,220,4
35,49,Undirected,3.80903712074E+035,220,4
35,51,Undirected,1.03620642476E+022,220,4
35,53,Undirected,7.39619146858E+019,220,4
35,36,Undirected,0.2,110,1
35,37,Undirected,1.99697169652E+020,220,4
35,38,Undirected,0.1,110,1
35,41,Undirected,2.30640107007E+039,220,4
35,42,Undirected,3.85793361779E+035,220,4
35,213,Undirected,1.3007329078E+033,220,4
35,43,Undirected,1.54233988492E+039,220,4
35,44,Undirected,1.60716286559E+039,220,4
37,45,Undirected,1897458261340000,220,4
37,46,Undirected,9835298107770,220,4
37,48,Undirected,1032706301320000,220,4
37,49,Undirected,1.91542430649E+015,220,4
37,51,Undirected,52.1070000007,220,4
37,53,Undirected,0.371927194861,220,4
37,54,Undirected,0.7,110,1
37,42,Undirected,1940012551760000,220,4
37,213,Undirected,6540906136840,220,4
37,43,Undirected,7.75585853013E+018,220,4
37,44,Undirected,8.08182939589E+018,220,4
37,41,Undirected,1.15980404761E+019,220,4
38,50,Undirected,11247.9041096,220,2
38,39,Undirected,33.0820709106,220,2
38,40,Undirected,241.499117647,220,2
38,41,Undirected,330.820709106,220,2
39,50,Undirected,42.2853537954,220,2
39,40,Undirected,0.907891419726,220,2
39,41,Undirected,1.24368687634,220,2
